,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,first_time,goal,location_x,location_y,distance,angle
4631,1,36,"[110.9, 54.6]",0.0,Leanne Kiernan,Regular Play,West Ham United LFC,Center Forward,0.050700948,Normal,Right Foot,Open Play,0,0,110.9,54.6,17.203778654702575,0.2543941544120482
4632,1,49,"[82.3, 58.9]",0.0,Fara Williams,From Free Kick,Reading WFC,Center Attacking Midfield,0.019524345,Normal,Right Foot,Free Kick,0,0,82.3,58.9,42.172265767919086,0.16947904771339237
4633,2,46,"[93.8, 25.3]",0.0,Fara Williams,From Free Kick,Reading WFC,Center Attacking Midfield,0.03642611,Normal,Right Foot,Free Kick,0,0,93.8,25.3,30.042137074449283,0.2321642452505225
4634,2,49,"[115.1, 31.5]",0.0,Amalie Vevle Eikeland,From Corner,Reading WFC,Right Wing Back,0.06454996,Normal,Head,Open Play,0,0,115.1,31.5,9.81121806912883,0.454334839981501
4635,2,52,"[101.6, 28.2]",0.0,Kenza Dali,From Free Kick,West Ham United LFC,Right Center Midfield,0.087239996,Normal,Right Foot,Free Kick,0,0,101.6,28.2,21.858636736997124,0.3085711009058674
4636,2,52,"[100.4, 27.6]",0.0,Kenza Dali,From Free Kick,West Ham United LFC,Right Center Midfield,0.031607285,Half Volley,Right Foot,Open Play,1,0,100.4,27.6,23.193102422918752,0.291850495244928
4637,2,59,"[94.6, 55.0]",0.0,Fara Williams,From Free Kick,Reading WFC,Center Attacking Midfield,0.016350018,Normal,Left Foot,Open Play,0,0,94.6,55.0,29.49847453682987,0.2335532409344143
4638,2,64,"[108.2, 31.0]",0.0,Kenza Dali,From Corner,West Ham United LFC,Right Center Midfield,0.23737212,Half Volley,Right Foot,Open Play,1,0,108.2,31.0,14.840485167271316,0.4329541014741165
4639,2,64,"[115.2, 41.3]",0.0,Leanne Kiernan,From Corner,West Ham United LFC,Center Forward,0.42312008,Half Volley,Right Foot,Open Play,1,1,115.2,41.3,4.972926703662539,1.347252192309778
4640,2,74,"[118.0, 40.0]",0.0,Kristine Leine,From Corner,Reading WFC,Center Back,0.2773653,Half Volley,Right Foot,Open Play,0,1,118.0,40.0,2.0,2.214297435588181
4641,2,75,"[105.8, 29.1]",1.0,Brooke Chaplen,Regular Play,Reading WFC,Right Center Forward,0.09402302,Normal,Left Foot,Open Play,0,1,105.8,29.1,17.90111728356641,0.35713185888652
4642,2,79,"[91.9, 33.8]",0.0,Sophie Howard,From Throw In,Reading WFC,Left Center Back,0.023765918,Normal,Left Foot,Open Play,0,0,91.9,33.8,28.775857936819186,0.2700669771147872
4643,2,81,"[115.2, 39.2]",0.0,Jade Moore,From Corner,Reading WFC,Right Defensive Midfield,0.46636525,Half Volley,Left Foot,Open Play,1,1,115.2,39.2,4.866210024238573,1.3734007669450166
4644,2,87,"[100.8, 45.3]",0.0,Brooke Chaplen,From Counter,Reading WFC,Right Center Forward,0.03244916,Normal,Left Foot,Open Play,0,0,100.8,45.3,19.91808223700264,0.38346450675654337
4645,2,88,"[95.6, 29.6]",0.0,Fara Williams,From Free Kick,Reading WFC,Center Attacking Midfield,0.061773863,Normal,Right Foot,Free Kick,0,0,95.6,29.6,26.52395144016065,0.2766390928633062
4646,2,93,"[98.3, 18.6]",0.0,Mayumi Pacheco,Regular Play,Reading WFC,Left Wing Back,0.017934175,Half Volley,Right Foot,Open Play,0,0,98.3,18.6,30.477040538739978,0.1879295234864193
4647,2,94,"[100.1, 50.4]",1.0,Remi Allen,From Throw In,Reading WFC,Left Defensive Midfield,0.015433055,Normal,Head,Open Play,0,0,100.1,50.4,22.453730202351682,0.3152408631989995
4648,1,1,"[108.2, 37.0]",0.0,Magdalena Lilly Eriksson,From Free Kick,Chelsea FCW,Left Center Back,0.21485531,Volley,Left Foot,Open Play,1,0,108.2,37.0,12.175385004179535,0.6199632974496239
4649,1,3,"[94.0, 50.5]",0.0,Bethany England,Regular Play,Tottenham Hotspur Women,Center Forward,0.020824842,Normal,Left Foot,Open Play,0,1,94.0,50.5,28.040149785619906,0.2637511611886893
