,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,outcome,first_time
1683,1,25,"[117.3, 43.4]",1.0,Natasha Harding,From Free Kick,Reading WFC,Left Center Forward,0.31081054,Normal,Head,Open Play,Blocked,False
1684,1,31,"[104.1, 36.1]",1.0,Isobel Mary Christiansen,From Corner,Everton LFC,Left Center Midfield,0.016013542000000002,Normal,Head,Open Play,Wayward,False
1685,1,31,"[109.9, 38.4]",1.0,Valérie Gauvin,From Corner,Everton LFC,Center Forward,0.046363562000000004,Normal,Head,Open Play,Off T,False
1686,1,32,"[103.7, 52.1]",,Isobel Mary Christiansen,Regular Play,Everton LFC,Left Center Midfield,0.08370154,Normal,Right Foot,Open Play,Off T,False
1687,1,34,"[114.6, 45.8]",,Rachel Rowe,From Throw In,Reading WFC,Left Midfield,0.6729166,Volley,Right Foot,Open Play,Goal,True
1688,1,36,"[111.8, 46.6]",,Natasha Harding,Regular Play,Reading WFC,Left Center Forward,0.18009561000000002,Normal,Right Foot,Open Play,Wayward,True
1689,1,36,"[100.2, 20.6]",,Claire Emslie,Regular Play,Everton LFC,Left Wing,0.017226608,Normal,Right Foot,Open Play,Blocked,False
1690,1,40,"[94.1, 58.6]",,Emma Mitchell,Regular Play,Reading WFC,Right Back,0.015577147000000001,Normal,Left Foot,Open Play,Off T,False
1691,1,45,"[94.6, 46.9]",,Isobel Mary Christiansen,Regular Play,Everton LFC,Left Center Midfield,0.03241227,Normal,Right Foot,Open Play,Saved,False
1692,2,60,"[95.2, 35.6]",,Abbey-Leigh Stringer,Regular Play,Everton LFC,Center Defensive Midfield,0.03619651,Normal,Right Foot,Open Play,Blocked,True
1693,2,60,"[100.4, 45.1]",,Isobel Mary Christiansen,Regular Play,Everton LFC,Left Center Midfield,0.11111455,Normal,Right Foot,Open Play,Blocked,True
1694,2,72,"[100.8, 50.9]",,Hayley Emma Raso,From Throw In,Everton LFC,Right Wing,0.038093116,Normal,Left Foot,Open Play,Blocked,True
1695,2,76,"[112.7, 32.3]",,Nicoline Sørensen,Regular Play,Everton LFC,Left Wing,0.06308729,Normal,Head,Open Play,Goal,False
1696,2,77,"[112.2, 41.0]",1.0,Lucy Graham,Regular Play,Everton LFC,Center Defensive Midfield,0.16769314,Normal,Head,Open Play,Wayward,False
1697,2,83,"[101.0, 31.3]",,Simone Magill,From Free Kick,Everton LFC,Center Forward,0.063067466,Volley,Right Foot,Open Play,Blocked,True
1698,2,85,"[106.0, 46.8]",1.0,Hayley Emma Raso,Regular Play,Everton LFC,Right Wing,0.15872766,Normal,Left Foot,Open Play,Saved,False
1699,2,87,"[99.2, 54.0]",,Rachel Rowe,From Throw In,Reading WFC,Right Midfield,0.028066097,Normal,Left Foot,Open Play,Saved,False
1700,2,89,"[109.3, 37.1]",,Lucy Graham,Regular Play,Everton LFC,Center Defensive Midfield,0.094424665,Half Volley,Left Foot,Open Play,Blocked,False
1701,2,93,"[113.6, 38.1]",,Deanna Cooper,From Free Kick,Reading WFC,Right Center Back,0.38519648,Volley,Left Foot,Open Play,Off T,True
1702,2,94,"[97.8, 22.6]",,Rachel Rowe,From Counter,Reading WFC,Right Midfield,0.016895726,Normal,Right Foot,Open Play,Saved Off Target,False
1703,1,3,"[95.1, 47.3]",,Samantha June Mewis,From Corner,Manchester City WFC,Right Center Midfield,0.06599206,Half Volley,Right Foot,Open Play,Off T,True
1704,1,11,"[108.9, 42.1]",,Caroline Weir,From Throw In,Manchester City WFC,Left Center Midfield,0.22977693000000002,Normal,Right Foot,Open Play,Goal,True
1705,1,25,"[110.7, 45.5]",1.0,Ellen White,Regular Play,Manchester City WFC,Center Forward,0.04889554,Normal,Head,Open Play,Off T,False
1706,1,27,"[97.6, 42.3]",,Samantha June Mewis,Regular Play,Manchester City WFC,Right Center Midfield,0.049682483000000006,Normal,Right Foot,Open Play,Blocked,False
1707,1,29,"[109.4, 38.5]",,Ellen White,Regular Play,Manchester City WFC,Center Forward,0.3259764,Normal,Right Foot,Open Play,Goal,True
1708,1,32,"[110.1, 33.7]",1.0,Ellen White,Regular Play,Manchester City WFC,Center Forward,0.022558773,Normal,Head,Open Play,Off T,False
1709,1,38,"[102.0, 22.7]",,Lauren Hemp,From Free Kick,Manchester City WFC,Left Wing,0.15208684,Half Volley,Left Foot,Open Play,Saved,True
1710,1,44,"[102.3, 40.5]",,Samantha June Mewis,Regular Play,Manchester City WFC,Right Center Midfield,0.11095814400000001,Normal,Right Foot,Open Play,Saved,True
1711,1,44,"[103.6, 33.3]",,Esme Beth Morgan,Regular Play,Manchester City WFC,Left Back,0.0792508,Normal,Right Foot,Open Play,Blocked,True
1712,1,46,"[105.3, 44.9]",,Molly Pike,From Free Kick,Bristol City WFC,Left Center Midfield,0.11842661,Normal,Right Foot,Open Play,Blocked,False
1713,1,46,"[100.6, 42.6]",,Ellen Jones,From Free Kick,Bristol City WFC,Left Midfield,0.07598083500000001,Normal,Right Foot,Open Play,Saved,False
1714,2,47,"[99.3, 49.6]",1.0,Georgia Stanway,Regular Play,Manchester City WFC,Right Back,0.03433528,Normal,Right Foot,Open Play,Saved,False
